priority,name,category,latitude,longitude,own_brand_note,competitor_count,competitor_brands,competitor_max_kw,source_id,next_step
HIGH,Ankara Uluslararası Hastanesi,hospital,40.002211,32.8735609,,0,,0.0,way/405601395,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ankara Çeviri Bürosu,business_centre,39.9177021,32.8566752,,0,,0.0,way/225919895,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ankara Üniversitesi Tıp Fakültesi Cebeci Hastanesi,hospital,39.9333314,32.8836893,,0,,0.0,way/56697022,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ankara Üniversitesi Tıp Fakültesi Kalp Merkezi,hospital,39.9350483,32.8824768,,0,,0.0,way/1445758106,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,AnkaraLife,clinic,39.9233501,32.855563,,0,,0.0,node/8549752696,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ankasu Göz,hospital,39.9769159,32.8696221,,0,,0.0,way/414801239,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Anse AVM,mall,39.8957145,32.6773601,,0,,0.0,way/332236311,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ansera AVM,mall,39.8893707,32.8500218,,0,,0.0,way/67522909,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Arslan Çocuk Kliniği,clinic,39.9730237,32.8858509,,0,,0.0,way/414910480,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Arya Çarşı,mall,39.9923527,32.6141377,,0,,0.0,way/455669584,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Asya Aile Sağlığı Merkezi,clinic,40.0002747,32.862321,,0,,0.0,node/4076349292,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ata Yıldız Plaza,business_centre,39.9668023,32.6354422,,0,,0.0,way/429328830,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Atatürk Eğitim Ve Araştırma Hastanesi Semt Polikliniği,hospital,39.9117512,32.825822,,0,,0.0,way/417670214,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Atatürk Göğüs Hastalıkları ve Cerrahi Hastanesi,hospital,40.0016941,32.854332,,0,,0.0,way/360595930,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Atatürk Hastanesi Çukurambar Semt Polikliniği,clinic,39.9002752,32.8044486,,0,,0.0,node/1854436961,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Atatürk Sanatoryum Eğitim ve Araştırma Hastanesi,hospital,40.0020883,32.8569323,,0,,0.0,way/360597260,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ayaslı Araştırma Merkezi,business_centre,39.8908337,32.7817357,,0,,0.0,way/430982889,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Aydınlıkevler Aile Sağlığı Merkezi,clinic,39.9603058,32.8806327,,0,,0.0,node/11386192340,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Aynalı Çarşı,mall,39.9061957,32.8610366,,0,,0.0,node/247208696,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ayyıldız Çarşısı,mall,39.9391727,32.6195638,,0,,0.0,way/1408517254,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Bademlik Aile Sağlığı Merkezi,clinic,40.0089856,32.8745306,,0,,0.0,way/406046989,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Balıkçıoğlu İş Merkezi,business_centre,39.9267167,32.8545515,,0,,0.0,way/698088300,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Barış Sitesi Aile Sağlığı Merkezi,clinic,39.982768,32.8387014,,0,,0.0,node/4085039207,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Batıkent 1 No'lu Aile Sağlığı Merkezi,clinic,39.9526497,32.7279963,,0,,0.0,way/429897002,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Batıkent 2 No'lu Aile Sağlığı Merkezi,clinic,39.9672781,32.7220217,,0,,0.0,way/672425488,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Batıkent 3 No'lu Aile Sağlığı Merkezi,clinic,39.9762009,32.6896566,,0,,0.0,way/664709368,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Batıkent 7 Nolu Aile Sağlığı Merkezi,clinic,39.9592331,32.7183874,,0,,0.0,way/1376897363,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Bağlıca Aile Sağlığı Merkezi,clinic,39.8994666,32.6381275,,0,,0.0,node/11037122932,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Başkent Üniversitesi Hastanesi,hospital,39.9254075,32.8319519,,0,,0.0,node/62673820,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Başkent Üniversitesi Hastanesi Psiko-Sosyal Rehabilitasyon Merkezi,hospital,39.8610687,32.6041772,,0,,0.0,way/51662893,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Başkent Üniversitesi Hastanesi Psiko-Sosyal Rehabilitasyon Merkezi,clinic,39.8613017,32.6046599,,0,,0.0,way/473259322,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Başkent İş Merkezi,business_centre,39.9497073,32.8516858,,0,,0.0,way/217759437,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Betemar Etimesgut Diyaliz Merkezi,clinic,39.9529225,32.6392014,,0,,0.0,node/14184997566,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Betontaş İş Merkezi,mall,39.9682662,32.6442599,,0,,0.0,way/429328752,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Beytepe Alışveriş Merkezi,mall,39.8684984,32.7319605,,0,,0.0,way/544164472,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Beytepe Modern Ofis,business_centre,39.8631386,32.7183467,,0,,0.0,way/1380825044,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Beytepe Semt Polikliniği,clinic,39.8678429,32.7336468,,0,,0.0,way/544163794,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Beştepe Aile Sağlığı Merkezi,clinic,39.9225984,32.8059329,,0,,0.0,way/897121001,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Beştepe Devlet Hastanesi,hospital,39.9295366,32.8153922,,0,,0.0,way/461619040,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Bostancık Aile Sağlığı Merkezi,clinic,39.9609808,32.9356332,,0,,0.0,way/420692110,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Cengizhan Aile Sağlığı Merkezi,clinic,39.900138,32.9201669,,0,,0.0,node/4089438541,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Cihan Göz Hastalıkları ve Cerrahi Merkezi,clinic,39.9647735,32.7533512,,0,,0.0,node/10540368409,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Diyaliz Merkezi,clinic,39.8832103,32.8710967,zes 60kW,0,,0.0,way/421304468,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Diyetisyen Merve Ezgi Bulut,clinic,39.9129565,32.7568515,,0,,0.0,node/11371380956,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Dolphin AVM,mall,39.9743186,32.6222107,,0,,0.0,way/192518124,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Doğu Kampüs Sağlık Merkezi,clinic,39.871262,32.7638975,,0,,0.0,node/4326349621,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Dr Cengiz Kılıç Aile Sağlık Merkezi,clinic,39.9980086,32.8549347,,0,,0.0,way/484204833,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Dr. Betül Temel,clinic,39.9163988,32.8570918,,0,,0.0,node/13745581501,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Dr. Emre Demir Aile Sağlığı Merkezi,clinic,39.9270774,32.8884155,,0,,0.0,way/432362122,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Dr. Selahattin Şahan Aile Sağlığı Merkezi,clinic,39.9720689,32.7315447,,0,,0.0,way/1376321139,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Durmuş Ali Yaman Aile Sağlığı Merkezi,clinic,39.9765208,32.894571,,0,,0.0,way/421956515,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Düzen Çayyolu Polikliniği,hospital,39.871819,32.6853488,,0,,0.0,way/388047407,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,ERMAX,mall,39.9797733,32.8596576,,0,,0.0,node/14021746678,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ege Radyoloji,clinic,39.9087102,32.8623906,,0,,0.0,node/83559483,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ekin Çamlık Aile Sağlığı Merkezi,clinic,39.9717909,32.9538034,,0,,0.0,way/420259893,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Elvankent Aile Sağlığı Merkezi,clinic,39.9576742,32.6124241,,0,,0.0,way/445913641,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Emek Aile Sağlığı Merkezi,clinic,39.9241542,32.8159995,,0,,0.0,way/225002671,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Emek Psikoloji,clinic,39.9277594,32.8196321,,0,,0.0,node/14106460658,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Erdem Çarşısı,mall,39.9728933,32.7167221,,0,,0.0,way/223561022,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Erdoğan Şahinoğlu A. S. M,hospital,39.8799317,32.8002567,,0,,0.0,node/12067916822,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Eryaman 2 Nolu Aile Sağlığı Merkezi,clinic,39.9780553,32.6507613,,0,,0.0,way/429128671,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Eryaman 4 Nolu Aile Sağlığı Merkezi,clinic,39.9896807,32.624237,,0,,0.0,way/486692075,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Eryaman 5 No'lu Sağlık Ocağı,clinic,39.9736273,32.6238994,,0,,0.0,way/429068324,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Eser İşhanı ve Çarşısı,mall,39.9435433,32.8514309,,0,,0.0,node/3969830707,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
